ticker,close_date,div_sum
ABRD,2024-07-17,3.27
ABRD,2023-07-17,0.19
ABRD,2023-07-17,6.14
ABRD,2022-07-08,3.44
AFKS,2024-07-17,0.52
AFKS,2023-07-19,0.41
AKRN,2024-05-19,427.0
AKRN,2022-03-09,240.0
ALRS,2024-10-19,2.49
ALRS,2024-05-31,2.02
ALRS,2023-10-18,3.77
AQUA,2024-12-02,20.0
AQUA,2024-10-06,10.0
AQUA,2024-07-08,10.0
AQUA,2023-12-09,19.0
AQUA,2023-09-22,16.0
AQUA,2023-07-11,10.0
AQUA,2022-12-18,15.0
AQUA,2022-09-11,15.0
AQUA,2022-07-11,8.0
ASTR,2025-01-16,2.644669
AVAN,2025-04-28,28.5
AVAN,2024-12-02,68.16
AVAN,2024-10-02,34.7
AVAN,2024-05-29,33.46
AVAN,2023-11-23,57.0
AVAN,2023-09-25,47.08
AVAN,2023-05-22,26.02
AVAN,2023-02-14,39.2
AVAN,2022-11-28,17.34
BANE,2024-07-12,249.69
BANE,2023-07-07,199.89
BANE,2022-07-11,117.29
BANEP,2024-07-12,249.69
BANEP,2023-07-07,199.89
BANEP,2022-07-11,117.29
BELU,2024-05-13,225.0
BELU,2023-12-27,135.0
BELU,2023-09-29,320.0
BELU,2023-04-26,400.0
BELU,2023-01-23,75.0
BELU,2022-10-13,150.0
BELU,2022-06-17,47.24
BSPB,2025-05-05,29.72
BSPB,2024-05-06,23.37
BSPB,2023-10-09,19.08
BSPB,2023-05-10,21.16
BSPB,2022-08-29,11.81
BSPB,2022-06-14,0.0
BSPBP,2025-05-05,0.22
BSPBP,2024-05-06,0.22
BSPBP,2023-10-09,0.22
BSPBP,2023-05-10,0.22
BSPBP,2022-08-29,0.11
BSPBP,2022-06-14,0.11
CHKZ,2024-05-27,437.0
CHKZ,2023-07-10,185.0
CHKZ,2022-03-21,150.0
CHKZP,2024-05-27,437.0
CHKZP,2023-07-10,185.0
CHKZP,2022-03-21,150.0
CHMF,2024-12-17,49.06
CHMF,2024-09-10,31.06
CHMF,2024-06-18,38.3
CHMF,2024-06-18,191.51
CNTL,2022-07-04,1.524
CNTLP,2022-07-04,1.524
DIAS,2025-03-21,53.3
DIAS,2025-01-06,45.0
DIAS,2024-09-22,45.0
DIAS,2024-07-09,28.6
DIAS,2024-03-21,75.68
DIOD,2023-07-07,0.8
DIOD,2022-07-04,0.78
DZRD,2023-10-20,321.73
DZRDP,2023-10-20,321.73
EELT,2023-12-18,0.43
EELT,2023-07-07,0.75
