SECID,BOARDID,FACEVALUE,PREVLEGALCLOSEPRICE,COUPONVALUE,COUPONPERIOD,COUPONPERCENT,NEXTCOUPON,MATDATE,ACCRUEDINT,LATNAME,YIELD,DURATION,exclude
BYM000001818,TQCB,1000.0,101.0002,38.02,182,7.625,2026-06-29,2027-06-29,2700.140746,Republic Bel 331 29.06.2027,7.18,0,True
BYM000001925,TQCB,1000.0,103.525,31.63,181,6.378,2026-08-24,2031-02-24,1527.092549,Republic Bel 335 24.02.2031,5.35,0,True
BYM000001941,TQCB,1000.0,101.6,30.75,181,6.2,2026-08-28,2030-02-28,1434.575565,Republic Bel 336 28.02.2030,5.5,0,True
BYM000002154,TQCB,1000.0,101.9344,38.02,182,7.625,2026-06-29,2027-06-29,2700.140746,Republic Bel 340 29.06.2027,5.65,351,True
BYM000002410,TQCB,1000.0,102.0,31.63,181,6.378,2026-08-24,2031-02-24,1527.092549,Republic Bel 344 24.02.2031,5.97,1475,True
BYM000002469,TQCB,1000.0,126.4573,30.75,181,6.2,2026-08-28,2030-02-28,1434.575565,Republic Bel 346 228.02.2030,-0.85,1200,True
BYM000003053,TQCB,1000.0,100.2904,38.02,182,7.625,2026-06-29,2027-06-29,2700.140746,Republic Bel 355 29.06.2027,7.44,0,True
RU000A0JQAM6,TQCB,1000.0,107.3,90.74,184,18.0,2026-09-15,2028-09-15,49.32,DOM.RF-15,12.56,695,True
RU000A0JR4U9,TQCB,375.0,92.69,40.16,364,10.74,2026-11-02,2028-10-30,25.6,Glavnaya doroga 03,18.33,0,True
RU000A0JRJB8,TQCB,1000.0,99.99,52.06,182,10.44,2026-11-17,2031-05-13,10.01,ZSD AO 01,9.7,0,True
RU000A0JRJL7,TQCB,1000.0,99.05,52.06,182,10.44,2026-11-17,2031-05-13,10.01,ZSD AO 02,11.53,0,True
RU000A0JRU20,TQCB,567.0,81.84,25.19,182,8.91,2026-10-02,2031-09-26,11.21,SZKC-03,19.16,0,True
RU000A0JRU46,TQCB,567.0,98.99,25.19,182,8.91,2026-10-02,2031-09-26,11.21,SZKC-04,9.52,0,True
RU000A0JS4J1,TQCB,1000.0,99.51,49.07,182,9.84,2026-08-14,2032-02-06,35.05,ZSD AO 03,10.2,0,True
RU000A0JS4K9,TQCB,1000.0,101.05,49.07,182,9.84,2026-08-14,2032-02-06,35.05,ZSD AO 04,9.82,0,True
RU000A0JS4L7,TQCB,1000.0,113.65,49.07,182,9.84,2026-08-14,2032-02-06,35.05,ZSD AO 05,6.99,0,True
RU000A0JS4Z7,TQCB,1000.0,106.03,95.49,182,19.15,2026-08-25,2032-02-17,62.43,VEB.RF 21,14.37,384,True
RU000A0JS9X1,TQCB,1000.0,,127.7,5002,,2036-12-20,2036-12-20,0.0,AO Citimatik - NN,0.0,0,True
RU000A0JSGV0,TQCB,1000.0,99.84,48.87,182,9.8,2026-07-03,2032-06-25,46.18,RZhD 32,17.79,15,True
RU000A0JSQ58,TQCB,1000.0,100.24,59.84,182,12.0,2026-07-22,2027-07-21,50.3,FGC ROSSETI 22,10.55,36,True
RU000A0JT403,TQCB,1000.0,109.41,85.22,182,17.09,2026-09-25,2032-09-17,41.2,VEB.RF 18,13.92,420,True
RU000A0JT6B2,TQCB,1000.0,100.02,74.3,182,14.9,2026-10-01,2032-09-23,33.47,VEB.RF 19,13.32,104,True
RU000A0JTB96,TQCB,500.0,94.01,53.55,364,10.74,2026-11-03,2029-10-30,33.99,Glavnaya doroga 07,15.86,0,True
RU000A0JTFB2,TQCB,375.0,108.48,40.16,364,10.74,2026-11-25,2028-11-22,23.06,Glavnaya doroga 06,5.02,0,True
RU000A0JTU85,TQCB,1000.0,105.47,90.25,182,18.1,2026-09-22,2028-03-21,45.13,RZhD 28,15.13,554,True
RU000A0JTW83,TQCB,500.0,99.09,22.75,91,18.25,2026-07-01,2026-10-01,20.75,DOM.RF - 25,64.79,0,True
RU000A0JTYJ6,TQCB,1000.0,,17.1,91,6.86,2026-08-24,2048-04-27,5.45,FGC ROSSETI 23,0.0,0,True
RU000A0JTYK4,TQCB,1000.0,,17.1,91,6.86,2026-08-24,2048-04-27,5.45,FGC ROSSETI28,0.0,0,True
RU000A0JTZF1,TQCB,600.0,116.05,23.44,92,15.5,2026-08-01,2029-11-01,13.5,DOM.RF - 26,-67.36,0,True
RU000A0JU2K9,TQCB,1000.0,,17.1,91,6.86,2026-07-28,2048-06-30,10.52,FGC ROSSETI 26,0.0,0,True
RU000A0JU2L7,TQCB,1000.0,,17.1,91,6.86,2026-07-28,2048-06-30,10.52,FGC ROSSETI 27,0.0,0,True
RU000A0JU7S1,TQCB,1000.0,,17.23,91,6.91,2026-07-06,2048-09-07,14.77,FGC ROSSETI 29,0.0,0,True
RU000A0JU9K4,TQCB,1000.0,98.9,185.0,365,18.5,2027-05-06,2036-12-20,24.33,Sitymatik 01,17.31,0,True
RU000A0JUAH8,TQCB,1000.0,103.35,79.68,182,15.98,2026-11-10,2028-11-07,18.39,RZhD 30,15.02,745,True
RU000A0JUAN6,TQCB,1000.0,,34.21,182,6.86,2026-11-11,2043-10-21,7.71,GazpromBO-19,0.0,0,True
RU000A0JUAP1,TQCB,1000.0,,34.21,182,6.86,2026-11-11,2043-10-21,7.71,Gazprom BO-20,0.0,0,True
RU000A0JUC92,TQCB,1000.0,,16.4,91,6.58,2026-08-28,2048-10-30,4.51,FGC ROSSETI 30,0.0,0,True
RU000A0JUCA9,TQCB,1000.0,,16.4,91,6.58,2026-08-28,2048-10-30,4.51,FGC ROSSETI 34,0.0,0,True
RU000A0JUKX4,TQCB,1000.0,106.97,34.28,92,13.6,2026-09-01,2033-03-01,8.2,DOM.RF - 30,7.67,0,True
RU000A0JUT85,TQCB,1000.0,17.07,87.58,6268,0.51,2034-08-04,2034-08-04,46.17,"AKB PAO ""PERESVET"" BO-02",21.96,0,True
RU000A0JV0T3,TQCB,142.0,98.5,31.24,365,22.0,2026-09-01,2036-12-20,25.25,Sitymatik 02,17.27,0,True
RU000A0JV4R9,TQCB,1000.0,100.5,76.86,181,15.5,2026-08-01,2034-02-01,60.3,DOM.RF - 31,-1.66,42,True
RU000A0JV755,TQCB,61.13,484.48,1.62,92,10.5,2026-09-13,2047-06-13,0.18,Ipotech.agent AIZHK 2014-2 A3,-7.81,0,True
RU000A0JVB19,TQCB,1000.0,,32.86,182,6.59,2026-09-15,2040-02-28,17.69,RZhD 33,0.0,0,True
RU000A0JVB27,TQCB,1000.0,,32.86,182,6.59,2026-09-15,2040-02-28,17.69,RZhD 34,0.0,0,True
