SECID,BOARDID,FACEVALUE,PREVLEGALCLOSEPRICE,COUPONVALUE,COUPONPERIOD,COUPONPERCENT,NEXTCOUPON,MATDATE,ACCRUEDINT,LATNAME,YIELD,DURATION,exclude
RU000A10DQA8,TQOB,10000.0,0,349.04,182,7.0,2026-12-09,2033-06-01,269.39358,OFZ-PD 12156121V,6.98,2045,True
RU000A10DQA8,TQOB,10000.0,0,349.04,182,7.0,2026-12-09,2033-06-01,269.39358,OFZ-PD 12156121V,7.22,2045,True
RU000A10DQB6,TQOB,10000.0,0,299.18,182,6.0,2026-09-02,2029-02-28,1971.77082,OFZ-PD 12156120V,5.38,905,True
RU000A10DQB6,TQOB,10000.0,0,299.18,182,6.0,2026-09-02,2029-02-28,1971.77082,OFZ-PD 12156120V,5.83,905,True
RU000A10FAK6,TQOB,10000.0,0,381.45,182,7.65,2026-12-02,2036-05-21,452.98752,OFZ-PD 12156124V,7.7,2587,True
RU000A10FAK6,TQOB,10000.0,0,381.45,182,7.65,2026-12-02,2036-05-21,452.98752,OFZ-PD 12156124V,7.94,2587,True
SU26207RMFS9,TQOB,1000.0,0,40.64,182,8.15,2026-08-05,2027-02-03,31.04,OFZ-PD 26207,13.86,218,True
SU26207RMFS9,TQOB,1000.0,0,40.64,182,8.15,2026-08-05,2027-02-03,31.04,OFZ-PD 26207,21.81,0,False
SU26212RMFS9,TQOB,1000.0,0,35.15,182,7.05,2026-07-22,2028-01-19,29.55,OFZ-PD 26212,13.7,536,True
SU26212RMFS9,TQOB,1000.0,0,35.15,182,7.05,2026-07-22,2028-01-19,29.55,OFZ-PD 26212,4.36,0,True
SU26218RMFS6,TQOB,1000.0,0,42.38,182,8.5,2026-09-23,2031-09-17,20.96,OFZ-PD 26218,14.87,1497,True
SU26218RMFS6,TQOB,1000.0,0,42.38,182,8.5,2026-09-23,2031-09-17,20.96,OFZ-PD 26218,5.93,0,True
SU26219RMFS4,TQOB,1000.0,0,38.64,182,7.75,2026-09-16,2026-09-16,20.59,OFZ-PD 26219,13.8,85,True
SU26219RMFS4,TQOB,1000.0,0,38.64,182,7.75,2026-09-16,2026-09-16,20.59,OFZ-PD 26219,5.8,0,True
SU26221RMFS0,TQOB,1000.0,0,38.39,182,7.7,2026-09-30,2033-03-23,17.51,OFZ-PD 26221,15.11,1817,False
SU26221RMFS0,TQOB,1000.0,0,38.39,182,7.7,2026-09-30,2033-03-23,17.51,OFZ-PD 26221,10.79,0,True
SU26224RMFS4,TQOB,1000.0,0,34.41,182,6.9,2026-11-25,2029-05-23,5.1,OFZ-PD 26224,14.15,969,True
SU26224RMFS4,TQOB,1000.0,0,34.41,182,6.9,2026-11-25,2029-05-23,5.1,OFZ-PD 26224,6.91,0,True
SU26225RMFS1,TQOB,1000.0,0,36.15,182,7.25,2026-11-18,2034-05-10,6.75,OFZ-PD 26225,15.42,2047,False
SU26225RMFS1,TQOB,1000.0,0,36.15,182,7.25,2026-11-18,2034-05-10,6.75,OFZ-PD 26225,7.18,0,True
SU26226RMFS9,TQOB,1000.0,0,39.64,182,7.95,2026-10-07,2026-10-07,16.55,OFZ-PD 26226,13.52,106,True
SU26226RMFS9,TQOB,1000.0,0,39.64,182,7.95,2026-10-07,2026-10-07,16.55,OFZ-PD 26226,-28.91,0,True
SU26228RMFS5,TQOB,1000.0,0,38.15,182,7.65,2026-10-14,2030-04-10,14.46,OFZ-PD 26228,14.5,1190,True
SU26228RMFS5,TQOB,1000.0,0,38.15,182,7.65,2026-10-14,2030-04-10,14.46,OFZ-PD 26228,12.02,0,True
SU26230RMFS1,TQOB,1000.0,0,38.39,182,7.7,2026-09-30,2039-03-16,17.51,OFZ-PD 26230,15.48,2460,False
SU26231RMFS9,TQOB,1000.0,0,1.25,182,0.25,2026-08-12,2044-07-20,0.91,OFZ-PD 26231,0.0,0,True
SU26232RMFS7,TQOB,1000.0,0,29.92,182,6.0,2026-10-07,2027-10-06,12.49,OFZ-PD 26232,13.81,453,True
